Name;Brand;Price;URL
Huawei Watch GT treningsklokke (sort);Not found;1 990;https://www.elkjop.no/product/wearables-og-trening/sportsklokke/12546/huawei-watch-gt-treningsklokke-sort
Bose QuietComfort 35 QC35 II trådløse hodetelefoner (sort);Not found;2 990;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/QC352BK/bose-quietcomfort-35-qc35-ii-tradlose-hodetelefoner-sort
Polar Ignite treningsklokke S (rosa/rosegull);Not found;2 290;https://www.elkjop.no/product/wearables-og-trening/sportsklokke/47194/polar-ignite-treningsklokke-s-rosa-rosegull
Jabra Elite 75T helt trådløse hodetelefoner (sort/titan);Not found;1 990;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/53765/jabra-elite-75t-helt-tradlose-hodetelefoner-sort-titan
Jaybird RUN XT helt trådløse in-ear hodetelefoner (sort);Not found;1 899;https://www.elkjop.no/product/wearables-og-trening/hodetelefoner-til-trening/18839/jaybird-run-xt-helt-tradlose-in-ear-hodetelefoner-sort
Michael Kors Runway smartklokke (rosegull/rosa);Not found;2 995;https://www.elkjop.no/product/wearables-og-trening/smartklokke/MKT5048/michael-kors-runway-smartklokke-rosegull-rosa
Jabra Move Style Edition trådløse on-ear hodetelefoner (gullbeige);Not found;599;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/21584/jabra-move-style-edition-tradlose-on-ear-hodetelefoner-gullbeige
Sony helt trådløse in-ear hodetelefoner WF-1000XM3 (sort);Not found;2 490;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/42700/sony-helt-tradlose-in-ear-hodetelefoner-wf-1000xm3-sort
Jabra Move Style Edition trådløse on-ear hodetelefoner (titansort);Not found;599;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/21582/jabra-move-style-edition-tradlose-on-ear-hodetelefoner-titansort
Samsung Galaxy Buds helt trådløse in-ear hodetelefoner (sort);Not found;1 490;https://www.elkjop.no/product/mobil-og-gps/handsfree-og-hodetelefoner-med-mikrofon/23360/samsung-galaxy-buds-helt-tradlose-in-ear-hodetelefoner-sort
